search_term,master_term,source
"['abandoned cropland', 'abandoned croplands']",abandoned cropland,Project Drawdown
"['abandoned farmland', 'abandoned farmlands']",abandoned farmland,Project Drawdown
"['accountable','accountability']",accountability,Global Commons Alliance
['afforestation'],afforestation,IPCC
"['agricultural', 'agriculture']",agriculture,Climate Tech VC
"['agroecological', 'agroecology']",agroecology,ReGeneration
['agroforestry'],agroforestry,Project Drawdown
['agtech'],agtech,Climate Tech VC
['alternative cement'],alternative cement,Project Drawdown
"['alternative protein', 'alternative proteins']",alternative protein,OneEarth
['animal feed'],animal feed,Climate Tech VC
['aquaculture'],aquaculture,Climate Tech VC
['bamboo production'],bamboo production,Project Drawdown
['bio-based'],bio-based,IPCC
['biochar'],biochar,Project Drawdown
['biocultural'],biocultural,CAKE
['biodiversity'],biodiversity,IDFC - Adaptation
"['biofuels', 'biofuel']",biofuel,Climate Tech VC
['biogas'],biogas,Project Drawdown
['biomass'],biomass,Project Drawdown
"['bioplastic', 'bioplastics']",bioplastic,Project Drawdown
['black carbon'],black carbon,IPCC
['blue carbon'],blue carbon,Blue Carbon
"['blue forest', 'blue forests']",blue forest,Blue Carbon
['bottom trawling'],bottom trawling,Speed&Scale
['carbon capture'],carbon capture,IPCC
['carbon farming'],carbon farming,OneEarth
"['carbon market', 'carbon markets']",carbon market,Wikipedia
['carbon negative'],carbon negative,Speed&Scale
['carbon price'],carbon price,IPCC
"['carbon sequester', 'carbon sequestering', 'carbon sequestration']",carbon sequestering,IPCC
['carbon storage'],carbon storage,IPCC
['carbon transformation'],carbon transformation,Wikipedia
['carbon-intensive'],carbon-intensive,IPCC
['carbon-neutral'],carbon-neutral,Speed&Scale
"['carpool', 'carpooling']",carpool,Project Drawdown
['circular economy'],circular economy,Wikipedia
['clean cooking'],clean cooking,Project Drawdown
"['clean cookstove', 'clean cookstoves']",clean cookstove,Project Drawdown
['clean energy'],clean energy,Climate Tech VC
['clean power'],clean power,Climate Tech VC
"['clean-tech', 'cleantech']",clean-tech,Climate Tech VC
['climate'],climate,All
['climate-friendly'],climate-friendly,Climate Tech VC
"['climate-resilience', 'climate-resiliency', 'climate-resilient']",climate-resilience,IPCC
['climate-sensitive'],climate-sensitive,Climate Tech VC
['climate-smart'],climate-smart,Wikipedia
"['coastal ecosystem', 'coastal ecosystems']",coastal ecosystem,Blue Carbon
"['coastal livelihood', 'coastal livelihoods']",coastal livelihood,IPCC
['coastal management'],coastal management,IPCC
['coastal protection'],coastal protection,IDFC - Adaptation
"['coastal sink', 'coastal sinks']",coastal sink,Project Drawdown
"['composte', 'composting']",composte,Project Drawdown
"['cool roof', 'cool roofs']",cool roof,Project Drawdown
['coral restoration'],coral restoration,OneEarth
['corporate accountability'],corporate accountability,Global Commons Alliance
"['corporate commitment', 'corporate commitments']",corporate commitment,Global Commons Alliance
"['corporate target', 'corporate targets']",corporate target,Global Commons Alliance
['corporate transparency'],corporate transparency,Global Commons Alliance
['crop failure'],crop failure,OneEarth
['crop optimization'],crop optimization,OneEarth
"['cropland', 'croplands']",cropland,OneEarth
"['cultivar improvement', 'cultivar improvements']",cultivar improvement,IPCC
"['decarbonization', 'decarbonize']",decarbonization,IPCC
"['deforest', 'deforestation']",deforest,Global Commons Alliance
"['demotorization', 'demotorize']",demotorization,IPCC
"['desalinating', 'desalination']",desalinating,IPCC
['desertification'],desertification,ReGeneration
['disease control'],disease control,IPCC
"['disease vector', 'disease vectors']",disease vector,IPCC
['distributed energy'],distributed energy,Project Drawdown
['district heating'],district heating,Project Drawdown
"['drainage system', 'drainage systems']",drainage system,IDFC - Adaptation
"['drought', 'droughts']",drought,IPCC
['dynamic glass'],dynamic glass,Project Drawdown
['e-mobility'],e-mobility,Project Drawdown
['eco-friendly'],eco-friendly,Climate Tech VC
"['ecological corridor', 'ecological corridors']",ecological corridor,IPCC
['ecosystem restoration'],ecosystem restoration,ReGeneration
"['ecosystem service', 'ecosystem services']",ecosystem service,Wikipedia
['ecosystem-based'],ecosystem-based,IDFC - Adaptation
['efficient aviation'],efficient aviation,Project Drawdown
['efficient shipping'],efficient shipping,Project Drawdown
['electric mobility'],electric mobility,Project Drawdown
"['electric train', 'electric trains']",electric train,Project Drawdown
"['electric truck', 'electric trucks']",electric truck,Project Drawdown
"['electric vehicle', 'electric vehicles', 'ev', 'evs']",electric vehicle,Climate Tech VC
['electricity'],electricity,Project Drawdown
"['electrification', 'electrified']",electrification,Project Drawdown
"['electrolyzed', 'electrolyzer']",electrolyzed,Systems Change Lab
"['emission', 'emissions']",emission,IPCC
['energy access'],energy access,Systems Change Lab
['energy efficiency'],energy efficiency,CPI - Global Landscape Climate Finance
['energy independence'],energy independence,IPCC
['energy security'],energy security,IPCC
['energy storage'],energy storage,Project Drawdown
['energy transition'],energy transition,Systems Change Lab
